Anime-PlanetID,Name,Alternative Name,Rating Score,Number Votes,Tags,Content Warning,Type,Episodes,Finished,Duration,StartYear,EndYear,Season,Studios,Synopsis,Url,picture_url,image_file
1752,Armored Trooper Votoms: Red Shoulder Document - Roots of Treachery,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,3.579,361,"Action, Mecha, Sci Fi, Military, Real Robot, Original Work",Unknown,OVA,1,True,60,1988,1988,Unknown,Sunrise,"After armored trooper pilot Chirico Cuvie is given orders to transfer to Planet Odon, he and all of the other new recruits are sent into a simulated battle to test their abilities. However, this 'simulated battle' turns out to be a serious fight to eliminate those without the necessary skills. Chirico survives along with just three others, despite the fact that he fought while injured. It soon becomes apparent that this is not the first time he has survived against incredible odds, a fact that Colonel Peruzen wishes to exploit. But is Chirico truly immortal?",https://www.anime-planet.com/anime/armored-trooper-votoms-red-shoulder-document-roots-of-treachery,https://cdn.anime-planet.com/anime/primary/armored-trooper-votoms-red-shoulder-document-roots-of-treachery-1.jpg,1752.jpg
177,Mad Bull 34,Unknown,2.553,557,"Action, Comedy, Police, Based on a Manga","Drug Use, Explicit Sex, Explicit Violence, Mature Themes, Physical Abuse, Sexual Abuse",OVA,4,True,48,1990,1992,Unknown,Magic Bus,"Mad Bull is a rogue cop who doesn't take crap from anyone. In a metropolis laden with sex and violence, he makes his own law as he executes violent criminals according to his own laws. Now, his rookie partner Daizaburo is exposed to his controversial ways and must decide whether Bull is a real hero or worse than the criminals he's fighting!",https://www.anime-planet.com/anime/mad-bull-34,https://cdn.anime-planet.com/anime/primary/mad-bull-34-1.jpg,177.jpg
1770,Dirty Pair: Flight 005 Conspiracy,Dirty Pair: Bouryaku no 005-bin,3.486,548,"Action, Adventure, Sci Fi, Based on a Light Novel",Unknown,OVA,1,True,60,1990,1990,Unknown,Sunrise,"Universal flight 005 has exploded mid-flight, killing three hundred passengers; but when no one steps forward to file an insurance claim, the 3WA is called upon to investigate - and Kei and Yuri get assigned to the case! Oddly enough, they are also assigned a second case, this one involving a missing scientist. Why did the central computer assign them both of these cases? Could they possibly be connected? The Dirty Pair don't know, but they are sure going to find out - if they can avoid everyone that is trying to kill them!",https://www.anime-planet.com/anime/dirty-pair-flight-005-conspiracy,https://cdn.anime-planet.com/anime/primary/dirty-pair-flight-005-conspiracy-1.jpg,1770.jpg
1773,Slayers Gorgeous,Unknown,3.95,2515,"Action, Comedy, Fantasy, Based on a Light Novel",Unknown,Movie,1,True,60,1998,1998,Unknown,J.C.Staff,"In a nameless town, Lina Inverse and Naga the Serpent find their lunch interrupted when the town is attacked by a legion of dragons, led by an armor-clad young girl. Normally such an opponent would be no problem for a sorceress of Lina's skill, though before she can finish them off she is stopped by the town's guard. She is then taken to the king, who explains that the young girl is actually his daughter Marlene (who is going through a rebellious phase of adolescence)! Meanwhile, Naga teams up with Marlene in an attempt to make some money. But while the family feud over increased allowances rages on, could a more sinister threat to the town be looming?",https://www.anime-planet.com/anime/slayers-gorgeous,https://cdn.anime-planet.com/anime/primary/slayers-gorgeous-1.jpg,1773.jpg
1775,Uchuu Enban Dai-Senso,Great Battle of the Flying Saucers,2.254,111,"Action, Mecha, Sci Fi",Unknown,Movie,1,True,30,1975,1975,Unknown,Toei Animation,"Many years ago, Duke Fleed fled to Earth with the mighty Grandizer robot to prevent it from falling into the hands of the Vegan Empire. Hiding the robot and taking on an Earthian persona, he vowed never to pilot Grandizer again. Fast forward to the present, and a group of UFOs led by his childhood sweetheart have tracked down Duke Fleed once more. Demanding Fleed turn himself over, they give him a choice: return the Grandizer or watch Earth be destroyed! Will Duke Fleed stand by and watch his adopted home be obliterated, or will he break his vow, pilot Grandizer, and face off against the combined Vegan UFO Fleet?",https://www.anime-planet.com/anime/uchuu-enban-dai-senso,https://cdn.anime-planet.com/anime/primary/uchuu-enban-dai-senso-1.jpg,1775.jpg
1776,Kore ga UFO da! Soratobu Enban,That is an UFO! The Flying Saucer,1.769,112,"Sci Fi, Aliens, Shorts",Unknown,Movie,1,True,16,1975,1975,Unknown,Toei Animation,"UFOs and aliens from beyond the stars are common themes in media, entertainment, and other forms of science fiction; however, many individuals have sworn they have seen UFOs and have been abducted in real life! Sit back and watch as the makers of Mazinger take you on a journey through the history of UFO lore. Could it be that UFOs are real and that aliens watch us from afar? In the end, only you can be the judge.",https://www.anime-planet.com/anime/kore-ga-ufo-da-soratobu-enban,https://cdn.anime-planet.com/anime/primary/kore-ga-ufo-da-soratobu-enban-1.jpg,1776.jpg
1777,Clannad Movie,Unknown,3.821,13157,"Drama, Romance, Slice of Life, Melancholy, School Life, Based on a Visual Novel",Unknown,Movie,1,True,94,2007,2007,Unknown,Toei Animation,"When his dream career as a basketball player is shattered due to a severed tendon, Okazaki Tomoya believes that his already depressing life has lost all purpose. To make matters worse, he is plagued by dreams in which he wanders through a land of nothingness. Attending school only through force of habit, Tomoya one day meets a girl called Furukawa Nagisa; and over time, while helping her to reform the school's drama club, Tomoya learns to smile and have fun once more. His dreams have become less dark, as though a ray of hope has appeared; but could there be more to these dreams than there appears to be?",https://www.anime-planet.com/anime/clannad-movie,https://cdn.anime-planet.com/anime/primary/clannad-movie-1.jpg,1777.jpg
1778,Galaxy Angel X,Unknown,3.501,706,"Comedy, Sci Fi, Episodic, Outer Space",Unknown,TV,13,True,24,2004,2004,Summer 2004,MADHOUSE,"Milfeulle, Ranpha, Vanilla, Mint and Forte are back! And when their mission to visit a terminally ill patient takes an unexpected turn, the Angels are joined by new member Chitose Karasuma! However Chitose often causes more harm than good to the brigade, as her difficulty at making friends often results in arguments and mistrust. Forced to deal with alien doctors, annoying time bombs, proverbs becoming reality, murder mysteries and even the stress of living a monotonous lifestyle, the team continue their fun and crazy search for the mysterious lost technology.",https://www.anime-planet.com/anime/galaxy-angel-x,https://cdn.anime-planet.com/anime/primary/galaxy-angel-x-1.jpg,1778.jpg
178,The Heroic Legend of Arslan (1991),Arslan Senki (1991),3.37,1010,"Adventure, Fantasy, Magic, Medieval, Middle Eastern, Political, Rebellions, Royalty, Swordplay, War, Based on a Light Novel","Mature Themes, Suicide, Violence",OVA,6,True,40,1991,1995,Unknown,"Aubec, Pierrot, J.C.Staff, Production I.G, Daume","Arslan is the prince of the Palse kingdom, a beautiful country which is located amidst the sand dunes. Peace in the land of Palse is soon disrupted when the Lusitanian army attacks, led by a man known as Silvermask who claims to be the true heir to the throne. After fleeing his home under siege with his only remaining general Daryoon, the young prince travels from kingdom to kingdom, gathering the support and loyalty of new friends, including Gieve the minstrel, Pharangese the warrior priestess, and Narsus the master strategist to help him reclaim his beloved Palse.",https://www.anime-planet.com/anime/the-heroic-legend-of-arslan-1991,https://cdn.anime-planet.com/anime/primary/the-heroic-legend-of-arslan-1991-1.jpg,178.jpg
1782,Panda-Z: The Robonimation,Unknown,2.652,263,"Comedy, Mecha, Sci Fi, Animal Protagonists, Anthropomorphic, Bears, Chibi, Family Friendly, Non-Human Protagonists, Pandas, Parody, Short Episodes, Original Work",Unknown,TV,30,True,5,2004,2004,Spring 2004,Synergy SP,"Pan-Talon, pilot of the Panda-Z mecha, lives a colorful life. He engages in skirmishes against Skull Panda and the evil Warunimal army, plays Old Maid with his buddies, and consumes meals made out of batteries (for what else would a robot eat?). Meanwhile, at the enemy HQ, the Warunimal captains are more interested in finding out what their leader looks like under his cape than they are about devising evil plots. Through a variety of situations the forces collide, with both sides suffering design faults and neither taking the fighting seriously!",https://www.anime-planet.com/anime/panda-z-the-robonimation,https://cdn.anime-planet.com/anime/primary/panda-z-the-robonimation-1.jpg,1782.jpg
179,Venus Wars,Venus Senki,3.237,1147,"Action, Adventure, Sci Fi, Seinen, Motorcycles, Post-apocalyptic, War, Based on a Manga",Violence,Movie,1,True,105,1989,1989,Unknown,Kugatsusha,"Set in the 21st century on a recently terraformed Venus, Venus Wars is the story of a war between two opposing nations, and the effect it has on a group of teenagers. Dark and gritty, with an air similar to that of Akira, it focuses on coming of age during the midst of a planet's devastating war.",https://www.anime-planet.com/anime/venus-wars,https://cdn.anime-planet.com/anime/primary/venus-wars-1.jpg,179.jpg
1790,Fairy Musketeers OVA,Otogi-Juushi Akazukin OVA,2.948,232,"Action, Fantasy, Original Work",Unknown,OVA,1,True,37,2005,2005,Unknown,MADHOUSE,"After Souta finds an injured 'dog' near the well outside his home, he suddenly finds himself being attacked by a monster which has been constantly chasing him in his dreams. Fortunately, just like in his dream, a girl in a red helmet and weird clothes comes to his rescue. Her name is Akazukin, and she has come to Souta's world along with the 'dog' (who is actually a talking wolf called Val) in order to find and protect the one known as 'Erde's Key' from the forces of the evil Cendrillon. But when Souta's friend Ringo is kidnapped by Cendrillon's minions, will Akazukin be able to save her alone?",https://www.anime-planet.com/anime/fairy-musketeers-ova,https://cdn.anime-planet.com/anime/primary/fairy-musketeers-ova-1.jpg,1790.jpg
1792,Megazone 23 Part II,Unknown,3.215,366,"Action, Mecha, Sci Fi, Military, Motorcycles, Outer Space, War, Original Work",Unknown,OVA,1,True,82,1986,1986,Unknown,"AIC, ARTMIC Studios, Artland","Half of a year has passed since the Megazone and the Dezalg declared war against each other. The Megazone's military is fighting a constantly losing battle, as the Dezalg's weapon technology is fifty years more advanced than their own, allowing the Dezalg to gain more ground every day. Meanwhile, Shogo has hidden the Garland and has tried to resume a 'normal' life, which consists of leading a motorcycle gang in rebellion against the government. This all ends when a remnant of the AI EVE attempts to contact him. With Shogo's help, EVE might be able to enact a protection program that will save some of Megazone's inhabitants from the Dezalg. Can Shogo recover the Garland and reach EVE before it is too late?",https://www.anime-planet.com/anime/megazone-23-part-2,https://cdn.anime-planet.com/anime/primary/megazone-23-part-2-1.jpg,1792.jpg
1799,Death Note Rewrite 1: Visions of a God,Death Note Rewrite 1: Genshi Suru Kami,4.103,13633,"Crime, Criminals, Detectives, Mind Games, Psychological, Psychopaths, Rivalries, Secret Identity, Serial Killers, Shinigami, Supernatural, Vigilantes, Based on a Manga",Unknown,TV,1,True,130,2007,2007,Unknown,MADHOUSE,"Yagami Light is an unusually bright high school student who has found himself disillusioned and bored with both life and the world. When he stumbles upon a strange book entitled Death Note, however, this all changes. In an attempt to purge the world of evil, he uses the book's powers to claim the lives of criminals and establish himself as a god. Not long after his quest begins, though, he finds himself confronted by a man calling himself ""L"" who vows to put an end to Light's reign of tyranny before it can begin. With two genius intellects at odds, a deadly game of cat and mouse ensues, and with it can be only one winner - who will prevail?",https://www.anime-planet.com/anime/death-note-rewrite-1-visions-of-a-god,https://cdn.anime-planet.com/anime/primary/death-note-rewrite-1-visions-of-a-god-1.jpg,1799.jpg
180,Fake,Unknown,2.947,2967,"BL, Mystery, Shounen-ai, Yaoi, Adult Couples, Detectives, England, Europe, Mature Romance, Based on a Manga",Unknown,OVA,1,True,55,1998,1998,Unknown,J.C.Staff,"During a much needed vacation in England, American cops Dee Laytner and Randy McClane find out that danger has found them yet again. Their hotel, it seems, is under investigation for a series of murders which cannot be solved, perplexing local authorities and visitors alike. Now, Dee's clever plans to take Randy's virginity must be stalled in lieu of the investigation, since hesitation might cost both of them their lives!",https://www.anime-planet.com/anime/fake,https://cdn.anime-planet.com/anime/primary/fake-1.jpg,180.jpg
1803,Neon Genesis Evangelion: Death and Rebirth,Shinseiki Evangelion: Shi to Shinsei,3.799,15383,"Mecha, Military, Post-apocalyptic, Psychological, Super Robot, Original Work",Violence,Movie,1,True,100,1997,1997,Unknown,"GAINAX, Production I.G, Tatsunoko Production","In a post-apocalyptic future, Tokyo III is under attack from mysterious creatures called Angels and only the mecha known as Evangelions can stand against them. Shinji Ikari is a lonely and disturbed boy who was specially selected to be one of the three child pilots for the Evangelions; however, fighting his fears and battling alien creatures are two very different things, and neither is easy. Can Shinji conquer his weaknesses in time to save humanity, or will his confused emotions and the Angels doom the entire world to extinction?",https://www.anime-planet.com/anime/neon-genesis-evangelion-death-and-rebirth,https://cdn.anime-planet.com/anime/primary/neon-genesis-evangelion-death-and-rebirth-1.jpg,1803.jpg
